GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order,com.yas.order.model,CheckoutItem,28,0,8,0,6,0,6,0,2,0
order,com.yas.order.viewmodel.order,OrderBriefVm,0,61,0,0,0,12,0,2,0,2
order,com.yas.order.viewmodel.order,OrderListVm,0,12,0,0,0,1,0,1,0,1
order,com.yas.order.viewmodel.order,PaymentOrderStatusVm,0,15,0,0,0,1,0,1,0,1
order,com.yas.order.viewmodel.order,OrderItemPostVm,0,27,0,0,0,1,0,1,0,1
order,com.yas.order.viewmodel.order,OrderGetVm,0,42,0,0,0,9,0,2,0,2
order,com.yas.order.viewmodel.order,OrderPostVm,0,48,0,0,0,1,0,1,0,1
order,com.yas.order.viewmodel.order,OrderExistsByProductAndUserGetVm,0,6,0,0,0,1,0,1,0,1
order,com.yas.order.viewmodel.order,OrderVm,0,125,0,0,0,25,0,3,0,3
order,com.yas.order.viewmodel.order,OrderItemVm,0,66,0,0,0,13,0,2,0,2
order,com.yas.order.viewmodel.order,OrderItemGetVm,49,5,1,1,10,2,3,1,2,1
order,com.yas.order.viewmodel.customer,CustomerVm,0,15,0,0,0,1,0,1,0,1
order,com.yas.order.controller,OrderController,50,41,0,0,11,8,3,6,3,6
order,com.yas.order.controller,CheckoutController,0,26,0,0,0,5,0,4,0,4
order,com.yas.order.viewmodel.promotion,PromotionUsageVm,0,15,0,0,0,1,0,1,0,1
order,com.yas.order.model.enumeration,PaymentMethod,0,21,0,0,0,2,0,1,0,1
order,com.yas.order.model.enumeration,CheckoutState,3,67,0,0,1,12,1,2,1,2
order,com.yas.order.model.enumeration,OrderStatus,0,77,0,0,0,14,0,3,0,3
order,com.yas.order.model.enumeration,PaymentStatus,0,21,0,0,0,4,0,1,0,1
order,com.yas.order.model.enumeration,DeliveryStatus,0,27,0,0,0,5,0,1,0,1
order,com.yas.order.model.enumeration,DeliveryMethod,0,27,0,0,0,2,0,1,0,1
order,com.yas.order.service,OrderService,24,640,2,12,4,163,2,26,0,21
order,com.yas.order.service,CustomerService,9,30,0,0,1,12,2,1,2,1
order,com.yas.order.service,ProductService.new ParameterizedTypeReference() {...},8,0,0,0,1,0,1,0,1,0
order,com.yas.order.service,ProductService.new ParameterizedTypeReference() {...},8,0,0,0,1,0,1,0,1,0
order,com.yas.order.service,CheckoutService,87,278,2,8,13,66,4,15,3,11
order,com.yas.order.service,PromotionService,4,32,0,0,0,13,1,1,1,1
order,com.yas.order.service,CartService,4,48,0,0,0,17,1,2,1,2
order,com.yas.order.service,AbstractCircuitBreakFallbackHandler,16,7,0,0,6,2,3,2,3,2
order,com.yas.order.service,ProductService,176,0,4,0,54,0,12,0,10,0
order,com.yas.order.service,TaxService,9,60,0,0,1,14,2,1,2,1
order,com.yas.order.viewmodel.checkout,CheckoutPostVm,0,24,0,0,0,1,0,1,0,1
order,com.yas.order.viewmodel.checkout,CheckoutVm,0,48,0,0,0,1,0,1,0,1
order,com.yas.order.viewmodel.checkout,CheckoutStatusPutVm,0,9,0,0,0,1,0,1,0,1
order,com.yas.order.viewmodel.checkout,CheckoutItemVm,0,36,0,0,0,1,0,1,0,1
order,com.yas.order.viewmodel.checkout,CheckoutPaymentMethodPutVm,0,6,0,0,0,1,0,1,0,1
order,com.yas.order.viewmodel.checkout,CheckoutItemPostVm,0,12,0,0,0,1,0,1,0,1
order,com.yas.order.viewmodel.orderaddress,OrderAddressPostVm,0,39,0,0,0,1,0,1,0,1
order,com.yas.order.viewmodel.orderaddress,OrderAddressVm,0,84,0,0,0,16,0,2,0,2
order,com.yas.order.utils,Constants.ErrorCode,8,0,0,0,2,0,1,0,1,0
order,com.yas.order.utils,Constants,3,0,0,0,1,0,1,0,1,0
order,com.yas.order.utils,Constants.MessageCode,8,0,0,0,2,0,1,0,1,0
order,com.yas.order.utils,Constants.Column,8,0,0,0,2,0,1,0,1,0
order,com.yas.order.viewmodel,ResponeStatusVm,12,0,0,0,1,0,1,0,1,0
order,com.yas.order.viewmodel,ErrorVm,24,0,0,0,3,0,2,0,2,0
order,com.yas.order.viewmodel.cart,CartItemDeleteVm,0,9,0,0,0,1,0,1,0,1
order,com.yas.order.mapper,OrderMapperImpl,63,0,4,0,17,0,5,0,3,0
order,com.yas.order.mapper,CheckoutMapper,0,6,0,2,0,1,0,2,0,1
order,com.yas.order.mapper,CheckoutMapperImpl,10,235,6,6,5,51,6,6,0,6
order,com.yas.order.viewmodel.product,ProductVariationVm,12,0,0,0,1,0,1,0,1,0
order,com.yas.order.viewmodel.product,ProductQuantityItem,9,0,0,0,1,0,1,0,1,0
order,com.yas.order.viewmodel.product,ProductGetCheckoutListVm,0,21,0,0,0,1,0,1,0,1
order,com.yas.order.specification,OrderSpecification,240,182,21,11,58,50,21,20,5,20
